"rank","recipe_id","recipe_name","because_you_buy1","because_you_buy2","because_you_buy3"
1,174787,"Chocolate Chip Dream Bars","nuts","semi-sweet chocolate chips","sweetened condensed milk"
2,128392,"Scalloped Chicken","butter","cream mushroom soup",""
3,115354,"Roman Artichokes","sea salt","extra virgin olive oil",""
4,91663,"Brown Sugar Candied Sweet Potatoes","butter","sweet potatoes","salt"
5,61380,"dumplings","chicken broth","flour","salt"
6,145129,"Tomato & Corn Scallop","butter","corn","tomatoes"
7,52711,"Southern Stewed Tomatoes","butter","tomatoes","sugar"
8,33490,"Roasted Sweet Potato Slices","butter","sweet potatoes","olive oil"
9,93218,"Roasted Sweet Potato Fries or Rounds","butter","sweet potatoes","olive oil"
10,411,"Butter Crepes","butter","milk","eggs"
11,138085,"Carrot Soup","onions","butter","low sodium chicken broth"
12,35857,"Fried Sweet Potatoes","butter","sweet potatoes","sugar"
13,118928,"Thick Chicken Noodle Soup","pepper","chicken broth","noodles"
14,116968,"French Glazed Carrots","butter","carrots","sugar"
15,59433,"Cool Chicken Salad","whole chicken","nuts","raisins"
16,37756,"Brussels Sprouts in Beer","beer","butter","Brussels sprouts"
17,67117,"Niblet Corn for the Freezer","butter","corn","sugar"
18,17485,"Hot Parmesan Toasts","parmesan cheese","butter",""
19,175756,"Yogurt Banana Bread","nuts","lemon","butter"
20,4611,"Old Canadian Oysters With Bread and Rice","rice","butter",""
